porg_plant_material_id,plant_id,plant_name,material_id,material_name,purchasing_org_id,user_id,supplier_id,supplier_name,supplier_plant,valid_from,valid_to,user_purchase_org_id,rejection_reason
348,2,Dadra,200112-000000,nan,1,nan,17376,TPL Plastech Ltd,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
349,2,Dadra,200112-000000,nan,1,nan,27750,Cosmoplast Polycontainer LLP,Dadra-194Q,,,,Foreign key violation - referenced ID not found in master table
350,2,Dadra,200117-000000,nan,1,nan,10600,Balmer Lawrie and Co Ltd.,Silvassa-194Q,,,,Foreign key violation - referenced ID not found in master table
351,2,Dadra,200117-000000,nan,1,nan,10898,E-CON PACKAGING PVT. LTD.,DADRA-194Q,,,,Foreign key violation - referenced ID not found in master table
352,2,Dadra,200117-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
353,2,Dadra,200118-000000,nan,1,nan,10600,Balmer Lawrie and Co Ltd.,Silvassa-194Q,,,,Foreign key violation - referenced ID not found in master table
354,2,Dadra,200118-000000,nan,1,nan,10898,E-CON PACKAGING PVT. LTD.,DADRA-194Q,,,,Foreign key violation - referenced ID not found in master table
355,2,Dadra,200118-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
356,2,Dadra,200121-000005,nan,1,nan,10104,Time Technoplast Ltd.,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
357,2,Dadra,200121-000005,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
358,2,Dadra,200131-000000,nan,1,nan,24934,East India Drums And Barrels Mfg Pvt Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
359,2,Dadra,200131-000000,nan,1,nan,28873,Precision Containeurs Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
360,2,Dadra,200131-000000,nan,1,nan,29019,East India Drums And Barrels Manufacturing Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
361,2,Dadra,200132-000000,nan,1,nan,24934,East India Drums And Barrels Mfg Pvt Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
362,2,Dadra,200132-000000,nan,1,nan,29019,East India Drums And Barrels Manufacturing Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
363,2,Dadra,200143-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
364,2,Dadra,200143-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
365,2,Dadra,200399-000000,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
366,2,Dadra,200412-000000,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
367,2,Dadra,200427-000000,nan,1,nan,10104,Time Technoplast Ltd.,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
368,2,Dadra,200428-000000,nan,1,nan,10898,E-CON PACKAGING PVT. LTD.,DADRA-194Q,,,,Foreign key violation - referenced ID not found in master table
369,2,Dadra,200429-000000,nan,1,nan,10600,Balmer Lawrie and Co Ltd.,Silvassa-194Q,,,,Foreign key violation - referenced ID not found in master table
370,2,Dadra,200429-000000,nan,1,nan,10898,E-CON PACKAGING PVT. LTD.,DADRA-194Q,,,,Foreign key violation - referenced ID not found in master table
371,2,Dadra,200429-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
372,2,Dadra,200431-000000,nan,1,nan,10600,Balmer Lawrie and Co Ltd.,Silvassa-194Q,,,,Foreign key violation - referenced ID not found in master table
373,2,Dadra,200431-000000,nan,1,nan,10898,E-CON PACKAGING PVT. LTD.,DADRA-194Q,,,,Foreign key violation - referenced ID not found in master table
374,2,Dadra,200431-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
375,2,Dadra,200441-000000,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
376,2,Dadra,200445-000000,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
377,2,Dadra,200450-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
378,2,Dadra,200451-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
379,2,Dadra,200452-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
380,2,Dadra,200455-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
381,2,Dadra,200455-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
382,2,Dadra,200456-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
383,2,Dadra,200456-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
384,2,Dadra,200457-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
385,2,Dadra,200457-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
386,2,Dadra,200458-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
387,2,Dadra,200473-000000,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
388,2,Dadra,200473-000000,nan,1,nan,23142,Neepra Packing Services (2019-2020),PANVEL-194Q,,,,Foreign key violation - referenced ID not found in master table
389,2,Dadra,200513-000000,nan,1,nan,17376,TPL Plastech Ltd,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
390,2,Dadra,201024-000000,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
391,2,Dadra,201041-000000,nan,1,nan,10067,PAPER BAGS MFG.CO.,Valsad-194Q,,,,Foreign key violation - referenced ID not found in master table
392,2,Dadra,201044-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
393,2,Dadra,201076-000000,nan,1,nan,12831,Enopeck Seals Industries,VALSAD-194Q,,,,Foreign key violation - referenced ID not found in master table
394,2,Dadra,201078-000000,nan,1,nan,10216,GUPTA BARRELS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
395,2,Dadra,201078-000000,nan,1,nan,30361,Besto Container Industries,Palghar-194Q,,,,Foreign key violation - referenced ID not found in master table
396,2,Dadra,201079-000000,nan,1,nan,10216,GUPTA BARRELS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
397,2,Dadra,201087-000000,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
398,2,Dadra,201099-000000,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
399,2,Dadra,201128-000000,nan,1,nan,25755,VEEKAY MULTIPACK LLP,Rajkot-194Q,,,,Foreign key violation - referenced ID not found in master table
400,2,Dadra,201132-000000,nan,1,nan,17376,TPL Plastech Ltd,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
401,2,Dadra,201308-000000,nan,1,nan,10216,GUPTA BARRELS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
402,2,Dadra,201312-000000,nan,1,nan,28863,Sniko Elyte Industries,MumbaiCity-194Q,,,,Foreign key violation - referenced ID not found in master table
403,2,Dadra,201323-000000,nan,1,nan,10464,SHANKAR PACKAGINGS LIMITED,VADODARA-194Q,,,,Foreign key violation - referenced ID not found in master table
447,7,Dahej,200037-000000,nan,1,nan,14941,Gurukrupa Associates,KUTCH-194Q,,,,Foreign key violation - referenced ID not found in master table
448,7,Dahej,200037-000000,nan,1,nan,22828,Mahadev packaging,Kutch-194Q,,,,Foreign key violation - referenced ID not found in master table
449,7,Dahej,200037-000000,nan,1,nan,28677,Gurukrupa Associates-Ankleshwar,DAHEJ-194Q,,,,Foreign key violation - referenced ID not found in master table
450,7,Dahej,200047-000001,nan,1,nan,13225,Vikram Industries,MUMBAI-194Q,,,,Foreign key violation - referenced ID not found in master table
451,7,Dahej,200048-000001,nan,1,nan,13225,Vikram Industries,MUMBAI-194Q,,,,Foreign key violation - referenced ID not found in master table
452,7,Dahej,200059-000001,nan,1,nan,10587,NILKAMAL LTD,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
453,7,Dahej,200060-000123,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
454,7,Dahej,200112-000000,nan,1,nan,11510,Pyramid Technoplast Pvt Ltd,BARUCH-194Q,,,,Foreign key violation - referenced ID not found in master table
